Participante,Dialogo,,,,,,,,,,,,
Jaime Valls Esponda,"Además de los documentos que ya conocieron, se propone la creación de una comisión de trabajo que tendrá como objetivo hacer una selección de los candidatos que se propondrían a este consejo. Para la integración de esta comisión se tiene previsto se componga por quienes serán los coordinadores de los consejos regionales, así como por los titulares de instituciones de educación superior que pertenezcan a los subsistemas que señala la ley.",,,,,,,,,,,,
Jaime Valls Esponda,"Como se observa en los criterios que se proponen, se estima dar cabida a todos los subsistemas de educación superior, así como a los distintos tipos de instituciones de educación superior. que los integran conforme a lo dispuesto en la propia ley.",,,,,,,,,,,,
Jaime Valls Esponda,"Por lo anteriormente expuesto, el secretariado técnico conjunto pone a consideración del pleno los criterios para la integración al CONACES de los representantes de académicos y de estudiantes, así como la integración de una comisión de trabajo para revisar y seleccionar las propuestas de representantes de estos académicos y estudiantes a incorporarse a este Consejo Nacional.",,,,,,,,,,,,
Jaime Valls Esponda,"Ahí está en pantalla la propuesta de acuerdo que hace este secretariado técnico conjunto a todos ustedes. Quienes estén por la negativa, sírvanse manifestarlo levantando la mano, por favor. Abstenciones.
Entonces se aprueba el acuerdo y el secretariado técnico conjunto agradece a este pleno su confianza.",,,,,,,,,,,,
Jaime Valls Esponda,Continuamos con el siguiente punto.,,,,,,,,,,,,
Jaime Valls Esponda,también se instruyó a este secretariado técnico conjunto a proceder con la instalación de los consejos regionales de apoyo para la coordinación de la educación superior que prevén los lineamientos de este propio consejo.,,,,,,,,,,,,
Jaime Valls Esponda,"Se ha considerado que para poder instalar dichas instancias es necesario contar con su anuencia a la propuesta de integración correspondiente.
En este sentido, en sus carpetas también se encuentra una propuesta que formula este secretariado y que se somete a su consideración.
",,,,,,,,,,,,
Jaime Valls Esponda,Dicha propuesta consiste en que entre los integrantes que participan en este consejo que ya tienen una integración regional se instalen los seis consejos regionales que quedarían conformados de inicio por estos diez miembros que se propone que forman parte también de CONACES.,,,,,,,,,,,,
Jaime Valls Esponda,"En el caso del Consejo Regional de la zona metropolitana, se propone adicionar a las instituciones de educación superior federales que se mencionan en la fracción quinta del artículo 52 de la propia ley.",,,,,,,,,,,,
Jaime Valls Esponda,"A partir de esta propuesta, los consejos regionales quedarían integrados como se muestra en la siguiente lámina que se les envió a todos ustedes y que de ser aprobado el secretario técnico estaría convocando a su instalación en la primera quincena de diciembre.",,,,,,,,,,,,
Jaime Valls Esponda,"Esa sería esa sería la la propuesta de inicio, insisto, son diez, pero con la posibilidad de que se integren más participantes",,,,,,,,,,,,
Jaime Valls Esponda,"Quienes estén por la negativa, sírvanse manifestarlo.
Abstenciones.
Entonces eh si están de acuerdo se se aprueba el el acuerdo que ustedes tienen en pantalla y nuevamente agradecemos la confianza y esto es para dar inicio y y de estos consejos regionales quien preside al consejo regional formaba parte de de la mesa de trabajo que señalamos en el punto anterior",,,,,,,,,,,,
Jaime Valls Esponda,"Es cuanto señor subsecretario para el siguiente punto, por favor.",,,,,,,,,,,,
Francisco Luciano Concheiro Borquez,"Muchísimas gracias. El siguiente punto de la orden del día es la presentación del informe de avances en el diseño del sistema de evaluación y acreditación de la educación superior a cargo del doctor Rogelio Garza, académico de la Universidad Autónoma de Nuevo León y quien ha realizado un espléndido trabajo como coordinador del comité técnico para el diseño de la SEAES.",,,,,,,,,,,,
Francisco Luciano Concheiro Borquez,"Sí, quiero decir que este es uno de los puntos centrales que nos ha demostrado que nada más se generó esta instancia, empezamos con una participación, una convocatoria y estamos impresionados, digamos, de la capacidad que tenemos para trabajar en términos colegiados.",,,,,,,,,,,,
Francisco Luciano Concheiro Borquez,"Creo que ha sido eh hasta un descubrimiento para todas y todos nosotros, estamos acostumbrados a que con anuyes hay participación, una integración, pero aquí hubo un verdadero interés de escucharnos y de escuchar las diferencias.",,,,,,,,,,,,
Francisco Luciano Concheiro Borquez,"Sin más le doy eh uso de la voz al doctor Rogelio Garza y le pido que coordine a todo el equipo. Aquí si eres tan amable, perdón, Rogelio. hacia la izquierda. Gracias.",,,,,,,,,,,,
Rogelio Garza ,"Muchas gracias, muy buenos días, saludo con respecto a los distinguidos integrantes del presídium.
Con el permiso del doctor Luciano Concheiro y a nombre de mis compañeros que integran el comité técnico daremos a conocer en unos en esos momentos más las actividades realizadas y los resultados que se han obtenido en esa intensa labor desarrollada en estos dos meses y dos semanas que hemos llevado a cabo.",,,,,,,,,,,,
Rogelio Garza ,"Pero quiero iniciar comentando a todos ustedes como ya es de conocimiento que la Ley General de Educación Superior aprobada en abril del 2021 establece en su artículo 58 que el sistema de evaluación y acreditación de la educación superior, SEAIS, tendrá como objeto diseñar, proponer y articular
estrategias y acciones en materia de evaluación y acreditación del Sistema Nacional de Evaluación Superior para contribuir a su mejora continua.",,,,,,,,,,,,
Rogelio Garza ,Y en cumplimiento a lo dispuesto en el decimocuarto transitorio de dicha Ley General de Educación Superior con fecha de 18 de agosto del 2021 se llevó a cabo la instalación de esta primera sesión ordinaria del Consejo Nacional para la coordinación de la educación superior donde tuvieron a bien aprobar el siguiente acuerdo,,,,,,,,,,,,
Rogelio Garza ,"Primero, el Conace aprueba los lineamientos de operación y financiamiento de dicha instancia colegiada a propuesta de la Secretaría de Educación Pública, así como la integración y funciones de su Secretariado Técnico Conjunto.",,,,,,,,,,,,
Rogelio Garza ,"Asimismo se instruye a la Secretaría Técnica Conjunto para que realice las acciones necesarias para su difusión, implementación y seguimiento.",,,,,,,,,,,,
Rogelio Garza ,"Y para llevar a cabo dichas acciones el CONACES aprueba que el Secretariado Técnico Conjunto lleve a cabo la integración del Comité Técnico, mismo que se encargará de procesar las aportaciones que se realicen en el marco de la convocatoria referida en el artículo decimotercero transitorio de la Ley General de Educación Superior con el propósito de contribuir al diseño del SEAES.",,,,,,,,,,,,
Rogelio Garza ,"Asimismo se aprueba que sea el Comité Técnico el encargado de la elaboración de los términos de la convocatoria atendiendo las disposiciones de la Ley General de Educación Superior, que garanticen los criterios de pluralidad, amplia participación y representatividad de la diversidad institucional de los subsistemas de educación superior.",,,,,,,,,,,,
Rogelio Garza ,En este contexto el pasado 17 de septiembre del 2021 se llevó a cabo la integración del Comité Técnico del Secretariado Técnico Conjunto y se aprobó la convocatoria para el diseño del SEAES.,,,,,,,,,,,,
Rogelio Garza ,"Con los objetivos principalmente de generar por parte de las autoridades e instituciones educativas espacios de diálogo y análisis, asimismo impulsar y promover mecanismos de participación y consulta para diseñar y establecer el SEAES. Convocar la participación de especialistas en temas de planeación y evaluación de la Educación Superior para la coordinación de los planteamientos y propósitos para la integración de dicho sistema.",,,,,,,,,,,,
Rogelio Garza ,En ese sentido y con el propósito de recabar con la mayor inclusión posible los planteamientos y propósitos de los diversos actores de la Educación Superior se realizaron seis foros regionales entre las instituciones de educación públicas y privadas.,,,,,,,,,,,,
Rogelio Garza ,"Asimismo se llevó a cabo la consulta a las autoridades federales y autoridades educativas y de igual manera la consulta a organismos y asociaciones colegiados y también se llevó a cabo la consulta a expertos y especialistas en planeación y evaluación de la educación superior y se llevó a cabo el diseño, la aplicación y el análisis de una encuesta dirigida precisamente a las comunidades de las instituciones de educación superior pertenecientes al sistema educativo nacional.",,,,,,,,,,,,
Rogelio Garza ,"Y ahora para dar a conocer precisamente esas actividades que se llevan a cabo y los resultados obtenidos, solicito al maestro José Aguirre Vázquez que nos dé a conocer de manera muy sintética las principales propuestas de las comunidades académicas realizadas en estos foros regionales.",,,,,,,,,,,,
José Aguirre Vázquez,"Muchas gracias, maestro Garza. Muy buenos días a todas y todos. Los foros regionales se llevaron a cabo en las instituciones donde se ubica la presidencia",,,,,,,,,,,,
José Aguirre Vázquez,"La presidencia de los consejos técnicos regionales de las nueve recibimos un extraordinario apoyo a través de dos titulares de estas instituciones y por ello les expresamos un merecido reconocimiento y agradecimiento por todo el esfuerzo y colaboración, así como a los equipos técnicos de cada una de estas instituciones",,,,,,,,,,,,
José Aguirre Vázquez,"Como se puede apreciar en esta diapositiva, de las 622 participantes registrados, el 43% decidió presentar oralmente su propuesta en alguno de los seis foros y el resto decidió que su propuesta solo se incluyera en la relatoría.",,,,,,,,,,,,
José Aguirre Vázquez,"El sistema de registro daba estas opciones. Siguiente, por favor. Debo señalar que los resultados que se presentan son una apretada síntesis de la gran cantidad de propuestas recibidas.",,,,,,,,,,,,
José Aguirre Vázquez,"En este caso es mi voz, pero las propuestas son de los miembros de las comunidades directivas, académicas y estudiantiles. Como ya se decía, hubo una amplísima participación, superó nuestras expectativas. Dentro de las principales características propuestas, resalto algunas: se propuso crear un sistema de evaluación y acreditación regulado por la SEP y articulado por estados y regiones que debe ser flexible para adaptarse regularmente a las características y necesidades del sistema de educación superior y a las necesidades y expectativas de la sociedad.",,,,,,,,,,,,
José Aguirre Vázquez,"Debe asegurarse su confiabilidad y calidad mediante evaluadores que cumplan con una amplia trayectoria académica. La que sigue, por favor. Voy ahora a los insumos. Estas son las características muy generales, pero pudimos clasificar también propuestas para insumos para el proceso de evaluación y acreditación.",,,,,,,,,,,,
José Aguirre Vázquez,Como uno de los principales insumos se propone el diseño de una nueva generación de criterios e indicadores pertinentes con enfoque cuantitativo y cualitativo.,,,,,,,,,,,,
José Aguirre Vázquez," Otro insumo muy importante es la información que debe estar disponible para apoyar este proceso y que debiera alojarse en un sistema robusto, seguro e integral que facilite la toma de decisiones.",,,,,,,,,,,,
José Aguirre Vázquez,"Se propuso también promover que cada institución educativa instale un comité institucional para realizar auditorías internas en las áreas críticas, es decir, autoevaluación",,,,,,,,,,,,
José Aguirre Vázquez,"El Registro Nacional de Pares Evaluadores se propone que sea de carácter público, que integre la información de cada evaluador por subsistema y muestre la evidencia de la capacitación recibida para evaluar instituciones y programas.",,,,,,,,,,,,
José Aguirre Vázquez,Las redes interinstitucionales de apoyo para la mejora continua permitirían aprovechar la experiencia y la capacidad de las instituciones con mayores niveles de desarrollo en beneficio de las instituciones de nueva creación o aquellas que han tenido dificultad para consolidar su proceso de mejora continua.,,,,,,,,,,,,
José Aguirre Vázquez,"La creación de un Comité Nacional de Evaluación para Escuelas Normales se propuso debido a la especificidad de este subsistema que cuente con recursos, instrumentos y personal adecuado a las necesidades del modelo educativo.",,,,,,,,,,,,
José Aguirre Vázquez,Se propone destinar una partida presupuestal para la operación del SEAES y evitar que la evaluación y la acreditación tenga un costo para las instituciones de educación superior,,,,,,,,,,,,
José Aguirre Vázquez,los procesos refiero a las propuestas que se recibieron en términos de los resultados esperados convenientes para este sistema de evaluación y acreditación.,,,,,,,,,,,,
José Aguirre Vázquez,para terminar me refiero a las propuestas que se recibieron en términos de los resultados esperados convenientes para este sistema de evaluación y acreditación.,,,,,,,,,,,,
José Aguirre Vázquez,"Debiera contribuir a la transformación de la educación superior mediante procesos sistemáticos y participativos para lograr una mejora continua integral sostenida en el largo plazo. Lograr la elaboración de planes institucionales de mejora continua integral que incluyan compromisos y metas. Asegurar que se cumplan los perfiles de egreso que prometen las instituciones y los programas educativos a la sociedad. Concretar y hacer visible la utilidad social de los procesos de evaluación y acreditación. En síntesis, contribuir a la formación de mejores profesionales, mejores ciudadanos y mejores seres humanos.",,,,,,,,,,,,
José Aguirre Vázquez,Se consideró importante que los equipos evaluadores dictaminen con objetividad e imparcialidad a fin de consolidar la credibilidad en este proceso. Se sugirió también incluir referentes y buenas prácticas internacionales debidamente contextualizados.,,,,,,,,,,,,
José Aguirre Vázquez,"planes institucionales de mejora continua integral que incluyan compromisos y metas para cada institución.
asegurar que se cumplan los perfiles de egreso que prometen las instituciones y los programas educativos a la sociedad.
Concretar y hacer visible la utilidad social de los procesos de evaluación y acreditación.
Y en síntesis, si tuviéramos que englobar todo esto eh este sistema debiera eh ayudar a las instituciones para que cada vez formen mejores profesionales, mejores ciudadanos y mejores seres humanos.
Es cuanto, les cedo el micrófono a la doctora Carmen Rodríguez Armendáriz.",,,,,,,,,,,,
Carmen Rodríguez Armendáriz,"Gracias, muy buenos días a todas y a todos.
Respecto a la consulta para las autoridades federales y estatales, que es el segundo elemento de los mecanismos que se establecieron para eh poder recibir todas los comentarios y participaciones de las comunidades universitarias.",,,,,,,,,,,,
Carmen Rodríguez Armendáriz,"Eh, me permito comentar que estuvieron Francisco Plata, Lilian Krasov, Alma Herrera e Indira Castillo como parte de estos trabajos de los equipos.",,,,,,,,,,,,
Carmen Rodríguez Armendáriz,"Respecto a las consultas de las autoridades educativas estatales eh les comento a los secretarios de educación de los estados, a las y los secretarios que si ustedes no se encuentran en esta lámina, quiere decir que todavía les falta su información.
Así que bueno, aquí está, se las dejamos y respecto al la información que tenemos,
eso fue respecto a la parte de los las consultas con las autoridades educativas estatales, ¿sí?, las cuales todavía esperaríamos eh si si así desean hacerlo a más tardar en esta semana.",,,,,,,,,,,,
Carmen Rodríguez Armendáriz,"Aunque eh ya tenemos también información en los otros mecanismos de consulta. Adelante.
En la consulta a las autoridades educativas federales participaron ocho directores generales de los siguientes subsistemas:",,,,,,,,,,,,
Carmen Rodríguez Armendáriz,"la Dirección General de Acreditación, incorporación y revalidación, de la Dirección General de Educación Superior para el magisterio, eh la Dirección General de Profesiones, la Dirección General de Universidades Tecnológicas y Politécnicas, el Tecnológico Nacional de México, la Universidad Abierta y a Distancia, la Universidad Pedagógica Nacional y la Dirección General de Educación Superior Universitaria e Intercultural. Adelante.",,,,,,,,,,,,
Carmen Rodríguez Armendáriz,"Respecto a los criterios, principios y orientaciones de política pública que debe contener este sistema, se menciona que el SEAES eh este sistema de educación y acreditación de educación superior debería integrarse como un órgano colegiado a nivel nacional y que a nivel estatal refleje también la forma jurídica.",,,,,,,,,,,,
Carmen Rodríguez Armendáriz,"Debe recuperar la rectoría del Estado sobre los procesos de evaluación y acreditación, promover las buenas prácticas y establecer criterios mínimos de calidad identificados en los procesos, así como esquemas o modelos de evaluación que correspondan con la naturaleza y propósito de cada subsistema para no generalizar ni homogeneizar eh elementos que son precisamente que contienen la riqueza dentro de cada uno de las diferencias.",,,,,,,,,,,,
Carmen Rodríguez Armendáriz,"También, adelante, deben establecer lineamientos base para los organismos acreditadores que permitan a las instituciones de educación superior seleccionar con mayor claridad y objetividad el organismo con fines de acreditación, así como establecer procesos sistematizados y puntuales para el seguimiento anual al programa educativo posterior a la evaluación y emisión de dictamen, a fin de atender las recomendaciones y propiciar la mejora continua.",,,,,,,,,,,,
Carmen Rodríguez Armendáriz,"y Que recupere la ética, práctica fundamental en cualquiera de los procesos de
educación, investigación y acción social de las IES.",,,,,,,,,,,,
Carmen Rodríguez Armendáriz,"Las características que debería tener también el SEAES es que considere la evaluación integral de todos los componentes que configuran a la institución de educación superior con una visión sistémica, ser un órgano facilitador, orientador, de interlocución y consulta para las instituciones de educación superior en todas sus modalidades, que visibilice las características particulares de las universidades interculturales y de la educación abierta y a distancia, especializado en el uso de herramientas digitales y que la información sea pública.",,,,,,,,,,,,
Carmen Rodríguez Armendáriz,"Las características también adelante es que debe centrarse en la mejora continua, no como un organismo punitivo, sino eh un proceso específico de mejora continua y muy particular, cumplimiento del logro del aprendizaje y que se encuentra alineada a los planes de desarrollo con la responsabilidad social de cada institución.",,,,,,,,,,,,
Carmen Rodríguez Armendáriz,"Asimismo, el concepto más que de calidad deberá estar orientado a la excelencia con los nuevos retos de la educación superior considerados en la Ley General como obligatoriedad, gratuidad, equidad, inclusión, pertinencia social, equidad de género, interculturalidad, interdisciplinariedad e internacionalización solidaria.",,,,,,,,,,,,
Carmen Rodríguez Armendáriz,La virtualidad para el como parte del desarrollo de habilidades y que no genere estándares de evaluación universalistas y homogeneizadores. Eso sucedió y y se mencionó en varios elementos de la consulta.,,,,,,,,,,,,
Carmen Rodríguez Armendáriz,"Las acciones también que deberán llevarse es el establecimiento de acuerdos para difundir y articular los principios base, la integración de un repositorio nacional de buenas prácticas, la integración de programas o fondos de financiamiento ordinarios y extraordinarios enfocados a fortalecer estos programas educativos y la mejora de las condiciones en los planteles educativos.",,,,,,,,,,,,
Carmen Rodríguez Armendáriz,"¿Qué acciones se deberían tener para llevar debieran llevarse a cabo? Pues los cambios armonizados con las normatividades federal y estatal y articular, por supuesto, al sistema de información tal como aparece también o apareció en la otra eh elemento de consulta.",,,,,,,,,,,,
Carmen Rodríguez Armendáriz,"Por último mencionar los diferentes tipos de evaluación como un primer acercamiento: la evaluación integral a los estudiantes en la formación, en su formación, la eh evaluación al personal docente, la evaluación de la gestión institucional, la evaluación de la infraestructura educativa y la evaluación, por supuesto, de la responsabilidad social.",,,,,,,,,,,,
Carmen Rodríguez Armendáriz,Cedo el uso de la voz al ingeniero Alfonso Hernández para el siguiente elemento de consulta. Adelante,,,,,,,,,,,,
Alfonso Hernández,"Buenas tardes, eh en relación a la consulta a organismos evaluadores y acreditadoras eh doy la siguiente información",,,,,,,,,,,,
Alfonso Hernández,se llevaron a cabo seis mesas de propuestas a estos organismos con una participación total de 30 de ellos. La Universidad Autónoma de San Luis Potosí fungió como sede en modalidad no presencial de dicha consulta la cual se llevó a cabo los días 8 y 9 de noviembre.,,,,,,,,,,,,
Alfonso Hernández,"El evento fue transmitido en plataforma de video abierto. La totalidad de organismos que llevan a cabo procesos de evaluación externa y acreditación participaron en las mesas: CIES, COPAES, CENEVAL, CONACYT, SNI, PNPC, así como más de la mitad de los organismos acreditadores reconocidos por el COPAES ",,,,,,,,,,,,
Alfonso Hernández,"se elaboraron documentos de relatoría, de síntesis y de propuestas de diseño para cada una de las seis mesas de trabajo, así como un documento final de toda la consulta. Eh se cuenta con la grabación de las seis sesiones así como presentaciones empleadas por eh algunos organismos. Se hace entrega del repositorio con toda la información resultante de estas mesas de consultas.",,,,,,,,,,,,
Alfonso Hernández,"Sobre el diseño se propone que el SEAES eh se oriente por una visión prospectiva de la educación superior, articule los diversos mecanismos de evaluación y acreditación, opere como espacio de discusión y deliberación permanente, produzca diagnósticos, estudios, investigaciones, recuperación de buenas prácticas, propuestas, etcétera, que orienten a las instituciones educativas a la mejora continua, establezca directrices, normas básicas y políticas para el buen gobierno de los organismos responsables de la evaluación y acreditación.",,,,,,,,,,,,
Alfonso Hernández,"Considere las nuevas realidades educativas, siguiente por favor. Establezca y coordine redes interinstitucionales, grupos y equipos de trabajo y colaboración en los temas clave de evaluación y acreditación para la mejora continua.",,,,,,,,,,,,
Alfonso Hernández,Mantenga la participación de pares académicos en los consejos y comités de los diferentes mecanismos. Establezca una política de financiamiento que reconozca las necesidades tanto de las instituciones educativas como de las instancias evaluadoras y acreditadoras.,,,,,,,,,,,,
Alfonso Hernández,Funcione como un sistema apoyado por un organismo que le brinde capacidades de operación.,,,,,,,,,,,,
Alfonso Hernández,"Consideraciones específicas para la evaluación externa y acreditación de instituciones y programas educativos. Debe mantenerse la evaluación institucional y la evaluación de programas. La acreditación debe estar a cargo de entidades independientes del gobierno para mantener la imparcialidad, objetividad y autonomía de las decisiones así como la continuidad de los procesos. Considerar la obligatoriedad de la acreditación para las carreras de interés nacional y de riesgo social. Impulsar los modelos basados en parámetros cualitativos, el trabajo de pares evaluadores especializados en el campo de conocimiento de que se trate y las decisiones de acreditación basadas en cuerpos colegiados del propio campo.",,,,,,,,,,,,
Alfonso Hernández,"Impulsar los modelos basados en parámetros cualitativos, el trabajo de pares evaluadores especializados en el campo de conocimiento de que se trate y las decisiones de acreditación basadas en cuerpos colegiados del propio campo.",,,,,,,,,,,,
Alfonso Hernández,"Reconocer y reforzar el papel que juegan los planes de mejora continua y el seguimiento de medio término, así como el acompañamiento en el avance de los compromisos establecidos en ellos, a través de enfoques de evaluación formativa. La información sobre los procesos y resultados de las evaluaciones y acreditaciones deberá estar disponible al público con lenguaje accesible y propositivo.",,,,,,,,,,,,
Alfonso Hernández,"Se debe homogeneizar y racionalizar los costos, así como revisar la operación de las instancias de acreditación para asegurarse que operan sin fines de lucro, estableciendo medidas para quienes no cumplan con este criterio. Mejorar el funcionamiento del Reconocimiento de Validez de Estudios de tipo superior (RVOE) y generar mecanismos de coordinación con las instancias de evaluación y acreditación de programas",,,,,,,,,,,,
Alfonso Hernández,Y finalmente algunas consideraciones específicas de algunas instancias evaluadoras. La evaluación del aprendizaje de los estudiantes debe ser integral y no solo disciplinar. La evaluación del personal académico no puede continuar fragmentada en diferentes mecanismos que no se complementen entre sí y que producen una jerarquización del trabajo académico en favor de la investigación y detrimento de la función docente.,,,,,,,,,,,,
Alfonso Hernández,"Dicha función debe revalorarse por el papel crucial que realiza. La evaluación de la docencia debe inspirarse en las mejores prácticas de desarrollo profesional docente e incluir tanto a profesores de tiempo parcial como de tiempo completo. La certificación de competencias puede ser un mecanismo que forme parte del SEAES, específicamente en la certificación de los evaluadores.",,,,,,,,,,,,
Alfonso Hernández,El CONEVAL cuenta con capacidades probadas para realizar evaluaciones de impacto de las políticas y programas de gobierno.,,,,,,,,,,,,
Alfonso Hernández,"La evaluación de programas de posgrado debe atender el llamado del CONACYT de transitar de una visión de mercado y competencia a una de pertinencia social y colaboración, sin pérdida de rigor científico. Cuando se traten temas de formación de recursos humanos para la salud, la participación de la CIFRHS se considera necesaria. Se solicita se considere su incorporación como miembro permanente del CONACES.",,,,,,,,,,,,
Alfonso Hernández,"Es cuanto. Eh, continuamos con el componente eh cuatro eh le pido al maestro Francisco Miranda eh en la parte de encuestas y hace uso de la voz.",,,,,,,,,,,,
Francisco Miranda,"Yo voy a compartir muy rápidamente
los resultados de esta encuesta que se realizó del 26 de octubre al 16 de noviembre.",,,,,,,,,,,,
Francisco Miranda,"con el propósito de captar la la opinión, la visión, perspectiva de las comunidades de las instituciones de educación superior.",,,,,,,,,,,,
Francisco Miranda,"fue por medios digitales en este periodo. Tienen ustedes ahí el el banner de difusión de esta encuesta. Una encuesta que tuvo cuatro secciones fundamentales, una de datos generales, otra de características de la evaluación interna, otra sobre características de la evaluación externa y la acreditación y finalmente una sección muy importante que tiene que ver con las propuestas que estas comunidades formularon para el diseño del sistema de evaluación.",,,,,,,,,,,,
Francisco Miranda,Déjenme muy rápidamente presentarles ustedes saben que cuando hace uno una encuesta el reto son las cifras que uno tiene que presentar. Tuvimos la fortuna de de contar con la participación de 36.205 personas.,,,,,,,,,,,,
Francisco Miranda,"Como ustedes pueden ver en el cuadro, prácticamente todas las figuras, todos los actores de las comunidades, estudiantes, docentes en sus distintas expresiones, funciones administrativas eh y funciones de dirección y de gestión. Estas eh 36.205 personas, ustedes pueden ver, destaca la la gran participación de estudiantes con el 68,5%, eh siguiendo en orden de importancia los docentes por horas o asignaturas y siguiéndole también eh en importancia la participación del personal con funciones administrativas y docencia con investigación.",,,,,,,,,,,,
Francisco Miranda,"También eh es destacable la participación de 12 instituciones de educación superior eh ahí ustedes pueden ver la la relación y destaca la participación de las universidades públicas estatales con más de 14.983 participaciones, el caso de la Universidad Pedagógica Nacional con una participación de casi 5.000 y seguida por las universidades tecnológicas y las normales públicas.",,,,,,,,,,,,
Francisco Miranda,"Tuvimos también una participación de todas las entidades federativas, y eso también es importante señalarlo, destacando la participación del estado de Puebla, el caso también del estado de México y ahí ven ustedes la distribución porcentual de la participación en cada una de las entidades federativas.",,,,,,,,,,,,
Francisco Miranda,"Con estas cifras el reto es identificar los rasgos fundamentales y hemos decidido presentar ante ustedes los elementos que nos parecen más importantes de este trabajo que, como comprenderán, es mucha información y hemos destacado algunos puntos centrales.",,,,,,,,,,,,
Francisco Miranda,"Primero, nos interesaba destacar la opinión sobre la participación en los procesos de evaluación tanto interna como externa. El 76,8% mencionó que en sus instituciones se llevan a cabo procesos de evaluación interna y entre el 70 y el 76% indicó estar de acuerdo con los procesos actuales de evaluación interna que se desarrollan en su institución.",,,,,,,,,,,,
Francisco Miranda,"Sin embargo, una proporción importante de 20,3% indicó desconocer si se aplican estos procesos, particularmente lo señalaron los estudiantes y los docentes por horas o asignaturas",,,,,,,,,,,,
Francisco Miranda,"El 64,8% de los participantes contestó que en su institución sí se llevan a cabo procesos de evaluación externa y acreditación y el 60,0% señaló haber participado en los mismos. Sin embargo, y es destacable este dato, casi el 32% señaló desconocer si se aplican procesos de evaluación externa y acreditación en su institución.",,,,,,,,,,,,
Francisco Miranda,"Otro tema importantísimo fue lo que los participantes señalaron respecto a lo que debe modificarse.
Se señalan ahí algunos aspectos centrales: los mecanismos de seguimiento con 27,4%; la importancia que se le da a los resultados (25,6%); la importancia que se le da a los procesos (24,2%); los costos de los procesos (23,5%) y los mecanismos de autoevaluación (20,0%). Entre el 20 y el 26% de los participantes considera necesario modificar los conceptos de calidad (26%); los métodos y criterios utilizados (23,6%) y el enfoque y la orientación de las evaluaciones (21,7%).",,,,,,,,,,,,
Francisco Miranda,"El 27,7% de los participantes indicó continuar con la diversidad de organismos acreditadores existente y el 25,8% se inclinó por reducir el número de organismos. Solo el 15,0% consideró que se debe rediseñar lo existente combinando lo público con lo privado. De todas estas cifras destacamos lo que a nuestro juicio son los elementos que ya apuntan a aspectos relevantes para el diseño del sistema de evaluación y acreditación.",,,,,,,,,,,,
Francisco Miranda,"En primer lugar, la necesidad de ampliar la difusión de los procesos de evaluación y acreditación a efecto de que la mayoría de los miembros de las comunidades de las IES conozcan las características, finalidades y mecanismos que los constituyen. Especialmente importante para aquellos miembros que muestran un mayor desconocimiento de dichos procesos como es el caso de los estudiantes y los docentes por horas y asignaturas.",,,,,,,,,,,,
Francisco Miranda,"segundo, Fortalecer los mecanismos de participación en los procesos de evaluación y certificación desde una perspectiva plural e incluyente, especialmente de los estudiantes, docentes y personal con funciones administrativas. Siguiente, por favor.",,,,,,,,,,,,
Francisco Miranda," Generar un mayor equilibrio entre los aspectos cuantitativos y cualitativos de la evaluación y la acreditación, buscando mayor pertinencia a los diversos contextos y realidades de cada institución y funciones que se desempeñan en las mismas. Adecuar los procesos de evaluación y acreditación considerando la diversidad de contextos institucionales, finalidades y grado de desarrollo académico e institucional de las IES (Universidades Interculturales, Normales Públicas, Universidad Pedagógica Nacional, Universidades Tecnológicas y Universidad Abierta y a Distancia). Y ahí subrayamos las instituciones que recurrentemente plantearon esta opinión como el caso de las universidades interculturales, las normales públicas, la Universidad Pedagógica Nacional, las universidades tecnológicas y la Universidad Abierta y a Distancia.",,,,,,,,,,,,
Francisco Miranda,"Finalmente, un tema fundamental de la encuesta fue lo que consideramos una agenda de inclusión, equidad y pertinencia en el sistema, con una altísima proporción de acuerdo, cerca del 80%. Quisiera destacar algunos puntos centrales.",,,,,,,,,,,,
Francisco Miranda,"La sustentabilidad y el cuidado del medio ambiente, la honestidad, integridad y participación democrática, así como el desarrollo de habilidades socioemocionales; preparar a los estudiantes para que accedan a todos los ámbitos de las artes, las ciencias y las tecnologías en los contextos local, nacional y mundial;",,,,,,,,,,,,
Francisco Miranda,"fortalecer la infraestructura y el desarrollo de habilidades de inclusión; atender la diversidad del perfil de las y los docentes y sus oportunidades de desarrollo; promover líneas de investigación y producción científica que contemplen la diversidad de sistemas de conocimiento y sus lenguajes y diversos elementos más que ustedes pueden ver en la pantalla. Son 19 puntos que abordan, creemos, lo que consideramos esto que denominamos una agenda de inclusión, equidad y pertinencia para el sistema de evaluación y acreditación de la educación superior.",,,,,,,,,,,,
compañera del Comité Técnico,"quisiera hablar de la parte que nos correspondió, que fue la consulta a especialistas y expertos. El equipo estuvo integrado por eh personas de diferentes ámbitos de los distintos subsistemas.",,,,,,,,,,,,
compañera del Comité Técnico,Trabajamos utilizando tres estrategias.,,,,,,,,,,,,
compañera del Comité Técnico,"La primera que es… fueron dos mesas para especialistas, entendido como todos aquellos que hacían investigación sobre evaluación.",,,,,,,,,,,,
compañera del Comité Técnico,La segunda fue dos mesas de reflexión con expertos que… que tuvieran experiencia en evaluación y acreditación,,,,,,,,,,,,
compañera del Comité Técnico,Y la tercera fue una encuesta a los coordinadores de planeación y evaluación de instituciones.,,,,,,,,,,,,
