Participantes,Dialogo
Participación del foro Maria Luisa de ALPES,"Eso era necesario en la educación superior y y decirle señor subsecretario que es que usted tenga toda la plena confianza que cada uno de ellos está inscrito en los en el proceso de acreditación institucional que nosotros tenemos y que bien la secretaría nos permitió dar a las instituciones no hay un punto que no que no esté, pero bueno, si si hay necesidad de reiterarlo y y de hacer énfasis en cada uno de ellos tenga por seguro y tengan por seguro que nosotros dentro de las escuelas que representamos lo vamos a hacer y vamos a participar porque además de participar y trabajar todos los días creemos en eso."
 Luis Armando González,"¿Alguna otra intervención Juan Pablo, por favor?"
 Participación del foroJuan Pablo Murra,"Muchas gracias y con el permiso del subsecretario de nuestro secretario general, le agradezco eh me presento para los que no me conocen, Juan Pablo Murra, presidente del consejo de de Fínpes y rector de profesional y posgrado del Tecnológico de Monterrey."
 Participación del foroJuan Pablo Murra,"muchas gracias también felicitar por por el trabajo hecho a la fecha importante. Eh sí quiero aprovechar la oportunidad para para reiterar como lo hemos hecho en la comisión de instrumentación eh que creemos que eh la importancia de que un órgano colegiado como este comité técnico pues sea integrado por criterios claros, competitivos, transparentes eh la trascendencia de los temas que se van a tratar ahí son de la mayor eh relevancia para México y para nuestras instituciones y creemos que los que participen ahí eh sea gente con la mayor experiencia y capacidad, así como una eh pluralidad mediante convocatoria eh pública para integrar este este comité."
 Participación del foroJuan Pablo Murra,"creemos también que eh eh va a ser importante definir los lineamientos en cuanto al número de participantes, en particular creer que hay ya una suficiencia de representación de las regiones. Eh creemos que al menos un representante de cada una de las regiones de Anuies es importante. Representación de los diferentes subsistemas, creemos que eh al menos nueve integrantes entre las instituciones de educación privadas eh las IES estatales no autónomas, las IES del subsistema tecnológico pues es importante y reiterar que ponemos a la disposición la experiencia de Fínpes que lleva décadas eh apoyando eh con procesos de evaluación y acreditación que han beneficiado a los más de 940,000 alumnos que pertenecen a las instituciones de de Fínpes y el interés tanto de Fínpes como del Tecnológico de Monterrey de sumar en este en esta en esta comisión, así que muchísimas gracias."
 Luis Armando González,"Gracias Juan Pablo. Eh ¿Alguna otra intervención? Sí, por favor."
Participación del foro de Irazema Linares,"Muchas gracias con su permiso señor subsecretario, con su permiso señor secretario ejecutivo. Buen día a todos. Irazema Linares de la Universidad Tecnológica de Tultepec en Hidalgo. Pues mi intervención señor subsecretario, compañeros, solamente para agradecer el trabajo que se está impulsando por la comisión del sistema para la evaluación de la educación superior"
Participación del foro de Irazema Linares,"Destacar que en el estado de Hidalgo, como producto de la séptima sesión ordinaria de este Conaces que se realizó en la Universidad Autónoma del Estado de Hidalgo, pues se organizó y se seccionó el taller de sensibilización eh para para participar todas las instituciones. Destacar pues la amplia participación de todas las instituciones del estado de Hidalgo y sobre todo el hecho tan importante de esta sensibilización como ya lo han referido que hoy nos queda claro y yo destaco de manera muy importante pues esta política educativa donde la evaluación se vuelve una obligación, pero a partir de nosotros que es la autoevaluación donde dejan a las instituciones de educación superior pues esa oportunidad y esa tarea que tiene que estar a par en manos de nosotros a partir de los propios instituciones y por supuesto como ya lo han bien señalado con la perspectiva de poder eh adherirse a organismos externos para fortalecer."
Participación del foro de Irazema Linares,"Entonces celebramos ampliamente esa confianza que en las instituciones se deposita para que estemos impulsando esta tarea de autoevaluación que creo que en el compromiso de la excelencia educativa es la tarea que todas las instituciones de educación superior debemos de consolidar y de tener como parte de nuestra mejora continua. Muchas gracias doctora por el trabajo con más de 100 personas en Hidalgo a nombre de nuestras autoridades educativas pues muchas gracias por eso y también agradecer que Hidalgo es parte de la comisión para elaborar el programa de ampliación de la oferta educativa que se conformó de manera reciente con 38 participantes. Ratificar el compromiso de Hidalgo por contribuir a que la educación superior en su absorción siga creciendo y no solamente en absorción como bien lo señaló señor subsecretario, sino el reto mayor en traducir en esa absorción también en un egreso exitoso porque la permanencia pues sigue siendo un reto. Un gusto coincidir con ustedes. Muchas gracias nuevamente doctora por eh la guía y el acompañamiento para subirnos a este tren de la evaluación de la educación superior. Muchas gracias."
 Luis Armando González,"Muchísimas gracias. Eh me ha pedido la palabra Ofelía Angulo, por favor."
Participación del Foro Ofelía Angulo,"Ahora sí, muy buenas tardes. quiero además de sumarme a las felicitaciones que se han expresado aquí hacia María José por el extraordinario trabajo eh hacer eh un par de ah invitaciones a considerar en el grupo de trabajo. Como ustedes saben desde la red ecos hemos venido impulsando el el doctor Concheiro lo sabe muy bien porque hemos tenido reuniones con su grupo de trabajo en en diferentes momentos eh la integración de posgrados conjuntos y de licenciaturas conjuntas. Aquí está la directora general de la Universidad ahora Rosario Castellanos ayer fue aprobada por la comisión de educación del Congreso local eh la iniciativa que envió la jefa de gobierno para pasar de Instituto de Estudios Superiores a Universidad la Rosario Castellanos"
Participación del Foro Ofelía Angulo,"Entonces pues ya legalmente la podemos llamar Universidad Rosario Castellanos. Entonces ella eh ha impulsado mucho la integración de estos posgrados conjuntos y eh quiero pensar que los procesos de evaluación para posgrados en donde participan diferentes instituciones pues tendrán una estructura y y eh diferenciada que las que tradicionalmente estamos acostumbrados. Este eh este mismo punto del trabajo que hemos realizado a través de la red ecos nos permite eh hacer una segunda invitación y esta tiene que ver con eh aprovechar una puerta para tener un acercamiento de sensibilización a todas las instituciones de educación superior, centros de investigación que y también institutos nacionales de salud que ofrecen programas de posgrado eh para eh tener esta conferencia, este acercamiento, este diálogo de sensibilización eh para este sistema de evaluación y acreditación de la educación superior. Así que la podemos tener una reunión conjunta con todos los integrantes para que nos hagas el honor de darnos esta charla, esta conferencia de sensibilización a todos los integrantes de la red ecos."
Participación del Foro Ofelía Angulo,"eh finalmente puedes ya sumar 23 las cartas de adhesión para el acuerdo nacional para la mejora continua. Nos sumamos por supuesto. Desde luego entiendo que no hay un formato eh lo mencionaste bien, no hay un formato, pero haremos el formato propio para expresar el interés que tenemos en la Ciudad de México para que las instituciones que están adscritas eh a la secretaría de Educación, Ciencia, Tecnología e Innovación de la Ciudad de México se sumen a este acuerdo nacional para la mejora continua de la educación superior. Es cuanto, muchas gracias.Muchas gracias"
Participación del Foro Ofelía Angulo,"De no ser así eh yo quisiera simplemente reiterarles eh la importancia que tiene la firma de estos acuerdos. En Anuies hemos preparado un machote por si fuera necesario eh ustedes tienen la libertad desde luego de redactarlo como quieran, pero nosotros estamos en la mejor disposición de de colaborar para que podamos tener estos acuerdos ojalá antes de la siguiente reunión de Conaces."
Participación del Foro Ofelía Angulo,"si no hay más intervenciones entonces les proponemos el siguiente acuerdo. acuerdo S.O.CONACES.8.6 El CONACES toma conocimiento de la presentación de los avances al mes de mayo del Sistema de Evaluación y Acreditación de la Educación Superior y acuerdan celebrar una sesión extraordinaria de este Consejo, antes de finalizar el mes de junio del año en curso, para la presentación, y en su caso, aprobación de diversos documentos normativos que orientarán los trabajos del SEAES."
Participación del Foro Ofelía Angulo,"quienes estén por la negativa, por favor manifiesten ahora. Entonces aprobamos por unanimidad el acuerdo recientemente presentado. Y solicitamos que se registre, por favor."
Luis Armando González,"El siguiente tema, eh con el número 7.2 se refiere al programa de ampliación de la oferta de Educación Superior 2023-2024, a cargo del maestro José Aguirre de la ANUIES."
José Aguirre Vázquez ,"Muchas gracias, saludo con especial afecto a todas y todos los miembros de este importante Consejo Nacional."
José Aguirre Vázquez ,"En esta en esta eh sesión de instalación se definió la metodología de trabajo en coordinación con la comisión, se acordó un cronograma de actividades que ahora presentaremos o comentaremos rápidamente y además se eligió a los responsables de la coordinación de los trabajos de este grupo de especialistas, ¿sí? Adelante, por favor. Este es el grupo de 34 especialistas, todos ellos con amplia experiencia eh en el tema de la de la planeación y que fueron propuestos por los miembros de este consejo, ¿no? Me detengo en los detalles, pero pues todo nuestro reconocimiento para los integrantes de esta comisión."
José Aguirre Vázquez ,"este es el cronograma de actividades que se aprobó por la comisión de trabajo, no entraría a grandes detalles, pero dentro de los procesos que están por delante está desde luego la revisión de un documento base que ya se entregó y que ahora entraré algún detalle. eh la terminación del documento, la participación de las COPES que se vuelven actores fundamentales en el proceso de gestión de resultados para el incremento de la oferta educativa y la idea es que esto lo reciba el secretario técnico conjunto para su revisión, para su análisis y que esté oportunamente terminado para la novena sesión ordinaria de este consejo en el mes de agosto, ¿sí? Habrá tiempo suficiente para que se pueda entregar y revisar y sancionar en esa en esa sesión."
José Aguirre Vázquez ,"Básicamente para no no detenerme en los detalles, este documento que llega circunstancias con las cuales ha tenido eh digamos una una una una evolución. Eh más adelante me voy a referir a ese punto y también a un tema que me parece nos debe preocupar mucho que es las brechas interestatales, ¿no? Entonces el diagnóstico será lo más profundo posible."
José Aguirre Vázquez ,"Después de de eh brindar mucha información sobre este diagnóstico eh le propusimos ya al grupo técnico un escenario que aspiramos que sea colectivamente deseado, es decir, habrá suficiente participación para que este escenario deseado hacia el futuro pues haya recogido los puntos de vista y el nivel de aspiración de todos los que estemos involucrados de manera que pues sean por supuesto más amplia la cobertura,"
José Aguirre Vázquez ,"Bueno, quisiera compartir eh algunos de los hallazgos importantes y llamar su atención sobre ellos en esta fase del de la del documento que ya hemos reportado."
José Aguirre Vázquez ,"En primer lugar la la cobertura nacional que como ya lo señalaba muy bien el el doctor Concheiro está en en 43.9, prácticamente el 44%, pero a pesar de todo el esfuerzo sostenido por incrementar eh la cobertura, pues si nos comparamos con nuestros con economías similares o con nuestros socios comerciales vemos que hay una brecha muy importante. por ejemplo Argentina está y Chile están arriba del 80%. La cobertura nacional está abajo de la tasa bruta de cobertura de Latinoamérica y el Caribe. Entonces sí hay una eh preocupación frente a estos referentes internacionales que por supuesto tiene mucho que ver con la generación de capacidades al interior del país, ¿no?"
José Aguirre Vázquez ,"esta es la evolución de la matrícula. Como podemos ver en el periodo 2020-2022 es un periodo de desaceleración del crecimiento, es decir, seguimos creciendo, pero no al ritmo que veníamos, se ve un punto de inflexión justamente por obviamente que conocemos las causas, hay un impacto de la pandemia pues innegable y muy importante que está recuperándose por supuesto paulatinamente, pero está esta secuela digamos sobre el tema de la cobertura."
José Aguirre Vázquez ,"Entonces aquí eh pues habrá que eh diseñar estrategias justamente para remontar la evolución de la cobertura a nivel nacional. Pero además de de incrementar la cobertura, como decía hace un momento, es muy importante el cierre de brechas. Enseguida nos vamos a referir específicamente a este tema porque además es un tema que alude a las estrategias diferenciadas a nivel de las entidades federativas."
José Aguirre Vázquez ,"Sin el ánimo de agobiarlos por supuesto con cifras, pero ahí está para que con más calma la podamos revisar, la voy a explicar en la primera parte, bueno, está la columna de las entidades federativas, ¿no?. eh y luego aparecen el reporte de la cobertura de dos periodos, dos ciclos escolares, 2010-2011 y 2022-2023. Es decir, aquí tenemos la información numérica de qué ha pasado con la evolución de la cobertura en 12 años. ¿Sí? que se ve a la derecha aparece la cobertura. Todas las entidades han incrementado su cobertura en este periodo, lo cual es muy natural."
José Aguirre Vázquez ,"20 entidades federativas están por debajo de la media nacional. Es decir, sus tasas de cobertura son inferiores a la media nacional. Esto también podría parecer natural, es decir, en los promedios siempre hay valores altos y valores bajos, ¿no? Por eso se cuestionan a veces los promedios, porque no son representativos de la realidad, si no se considera la dispersión. Aquí hay una alta dispersión con un sesgo negativo por el número, hay 20 entidades por debajo de la media nacional."
José Aguirre Vázquez ,"El problema es que la brecha, lo que estamos llamando la distancia entre la tasa estatal y la media nacional en muchas entidades se va ampliando. Es decir, quienes estaban por debajo de la media nacional, con el paso de los años van quedándose rezagadas cada vez más, con más distancia respecto a la media. Entonces, ese sí es un problema muy serio, porque que estén por debajo de la media preocupa, pero no tanto cuando este análisis revela ese incremento sistemático del rezago."
José Aguirre Vázquez ,¿A qué equivale esto? Pues equivale a que no todos los jóvenes mexicanos tienen las mismas oportunidades de acceso a la educación superior dada la reducción en las oportunidades indicadas en la tasa de cobertura.
José Aguirre Vázquez ,"Voy a poner un ejemplo, digo, lamentablemente, con fines didácticos es inevitable referirnos a alguna entidad. Voy a tomar la primera, que es Chiapas. En el ciclo 2010-2011, su tasa de cobertura era de 17.7. Si vamos a la franja del lado derecho, ahí donde está arriba, ese cursor me puede ayudar mucho; en la primera columna, la media nacional en ese entonces era de 28.9. ¿Sí? Paso al siguiente ciclo, que es 2022-2023, Chiapas pasa al 20.6, es decir, está creciendo, la brecha se ha ampliado en 12 puntos porcentuales. ¿Sí? Esto lo podemos revisar en una gráfica que está a continuación, pero si me permiten, para referirme ahora al extremo de la evolución, la Ciudad de México. ¿No? Que está obviamente al final de la tabla del lado derecho. La Ciudad de México tiene una brecha positiva de 43 puntos porcentuales."
José Aguirre Vázquez ,"Entonces, es enorme la diferencia en términos de, traduzcámoslo en oportunidades para los jóvenes de acceder a la educación superior, ¿no? Bueno, ahora esta gráfica es lo mismo, pero mucho más visible. Los invito, está muy lejos, lamentablemente, pero cuando vean la presentación, tomen en cuenta su entidad federativa y vean lo que pasa en este periodo de observación."
José Aguirre Vázquez ,"Me sigo posicionando, por ejemplo, en Chiapas, ¿no? Perdón, mis amigos chiapanecos, pero bueno, es que aparece en el primer término de la tabla. Entonces, pasemos rápido a la siguiente, vean Chiapas, pasemos a la siguiente. Vean eso. ¿Regresamos?"
José Aguirre Vázquez ,"Eso significa, ven el vector, el vector se incrementa, quiere decir que la brecha, la distancia a la media se está ampliando. Más rezago, brecha territorial que se amplía y no solamente está pasando eso con las que están por debajo de la media nacional. También hay entidades federativas que están por encima de la media nacional teniendo una brecha positiva, esa brecha es cada vez menos positiva. Es decir, la brecha es menor, se acercan a la media, están retrocediendo. Eso es un punto que nos convoca a trabajar en una gran coordinación nacional para atenuar los efectos de las brechas, ¿no?"
José Aguirre Vázquez ,"Bueno, no me detengo, es un mapa. Eso indica que hay más rezago, hay menor cobertura, déjenme decirlo así, menor cobertura en el sur-sureste que en el noroeste del país, ¿no?"
José Aguirre Vázquez ,"Otro tema muy importante tiene que ver con la equidad en el ingreso. En esta gráfica están representados los deciles de ingreso. Un indicador que hemos venido usando con mucha frecuencia es cómo evoluciona la tasa de cobertura para los primeros cuatro deciles, es decir, para los jóvenes que provienen de familias que se encuentran en el rango de los primeros cuatro deciles. ¿Sí? Es enorme la diferencia entre los primeros cuatro deciles y los cuatro deciles de mayor ingreso, ¿no? Entonces, no solamente será necesario incrementar la cobertura, sino hacerlo con equidad, con inclusión para estos grupos sociales que están, digamos, con menores ingresos y menores posibilidades de mantenerse, no solamente deben ingresar, hay que mantenerse en educación superior y egresar oportunamente, ¿no?"
José Aguirre Vázquez ,"el tema de género, no me voy a detener por razones de tiempo, lo tenemos asignado en el orden del día. Aquí sí se observa un proceso de feminización y yo creo que también habrá que recapacitar sobre qué podemos hacer para atender este tema, aunque hay que reconocer que hay avances notables."
José Aguirre Vázquez ,"Esto tendría que ver más con las áreas, con los campos de formación profesional, ¿no? Hay diferencias notables, no me detengo, por supuesto, primero por los detalles menores que no son tan visibles en la tabla, pero esta presentación, como siempre, está a su disposición para que ustedes la puedan analizar y comentar lo necesario. Desde luego sería muy importante que pudiéramos recibir sus opiniones, sus recomendaciones porque este programa está formulándose en este momento y es el momento también de hacer las adecuaciones y atender las sugerencias de los miembros de este Consejo Nacional."
José Aguirre Vázquez ,"Ya para terminar, miren, la ampliación de la cobertura, pero también el cierre de brechas tiene mucho que ver con los siguientes indicadores a los cuales ya se refería hace un momento el doctor Concheiro."
José Aguirre Vázquez ,"Primero, la tasa de egreso del bachillerato. Es decir, difícilmente vamos a crecer si no hay una armonización con los jóvenes que egresan del bachillerato. Aquí estamos reportando la tasa del bachillerato y verán que hay también una gran dispersión desde Jalisco que está en la extrema izquierda hasta Michoacán en la extrema derecha, ¿no? Esas tasas habrá que revisarlas, ver qué se puede hacer, hay mucho trabajo académico que podemos hacer para que vayamos cerrando esta dispersión."
José Aguirre Vázquez ,"La tasa de absorción de alumnos, en este caso llamo la atención a la gráfica para su interpretación adecuada, la tasa de absorción de alumnos locales, que es lo que tenemos en datos, ¿no? Porque hay, como ustedes saben, migración interestatal. Esa no está reportada aquí, son los alumnos locales. Entonces, esa tasa de absorción es una variable importante y también tenemos extremos: Sinaloa por un lado y Jalisco por el otro, ¿no? Vamos a la siguiente rápidamente, que es la tasa de abandono escolar y aquí, por supuesto, es muy preocupante, pero estas tres variables son fundamentales para cualquier esfuerzo que podamos hacer de incremento de la matrícula y también de cierre de brechas."
José Aguirre Vázquez ,"Hemos eh platicado, desde luego, con la subsecretaría para poder acompañar el programa nacional de ampliación de la oferta educativa, una vez que esté terminado, con talleres nacionales donde las COEPES analicen esta problemática y les podamos proveer de un modelo de simulación. ¿Qué pasa, por ejemplo, si yo mejoro esto, la tasa de abandono? O sea, trabajo, eso es trabajo académico, eh. Digo, nada es gratis, pero no no es lo mismo trabajar, hacer ajustes en las estrategias de acompañamiento, de nivelación de los alumnos, ¿no? Atender el rezago con el que vienen que construir más universidades. No es lo mismo en términos económicos. Entonces, la idea es que en ese taller y usando esta herramienta de simulación, podamos diseñar estrategias y políticas a nivel de cada entidad federativa"
José Aguirre Vázquez ,"Por supuesto, las COEPES son fundamentales, el papel que pueden desempeñar en esta tarea, ¿no? Entonces yo diría que primero pues tenemos que profundizar en los análisis de la situación de cada entidad federativa. Son distintas, pero hay grandes oportunidades de mejorar y de contribuir para el cierre de brechas. Se requiere una amplia participación de las COEPES, me parece que ahora que están ya reinstaladas vienen, digamos, con con nuevas encomiendas por parte de la Ley General de Educación Superior y nuevas actividades y funciones que pueden desempeñar en este tipo de de problemáticas, ¿no? Necesitamos ampliar la cobertura, sí, por supuesto, pero al mismo tiempo las políticas y las estrategias que privilegien por un lado, pues sí, el crecimiento de la matrícula, pero también el cierre de brechas interestatales para que se igualen las oportunidades de ingreso a la educación superior de los jóvenes mexicanos sin importar, por supuesto, el lugar donde residan, sin importar su situación socioeconómica, etcétera, ¿no? Muchas gracias, es cuanto."
 Luis Armando González,"Muchas gracias José Aguirre. Eh, igualmente tenemos espacio para intervenciones, comentarios, preguntas si es que las hay en el auditorio o en el zoom."
Participación del Foro,"Sí, bueno, muchas gracias. Felicitar en este caso a ANUIES y a quien acaba de exponer al maestro José Aguirre por esta presentación tan cruda diríamos así, en donde refleja de manera muy clara pues los grandes retos que tiene la educación y particularmente la educación superior Sería importante que al seno de CONACyT también y a través de los grupos que se han conformado eh se vertieran algunas eh recomendaciones para una vez detectado eh pues ese camino o ese avance que se ha detenido en algunos momentos por X o Y razones, ¿qué hacer como recomendación?"
Participación del Foro,"a sabiendas cuentas que en educación superior pues invariablemente que los espacios desafortunadamente con los que se cuenta no da para fuera posible para en base a eso ir midiendo el avance en de cada subsistema y junto con ello pues apoyarnos, ya lo ha comentado aquí el subsecretario y se ha discutido en este consejo en estas reuniones eh sobre eh la movilidad este interinstitucional que pudiera eh significar mucho el que se compartieran los éxitos de algunas instituciones con otras que tuvieran algunas áreas de oportunidad por alcanzar y que indudablemente a final de cuentas contribuiría en buena medida en este gran compromiso que tiene el sistema educativo nacional. Muchas gracias."
Participación del Foro,En este sentido se tiene que reconsiderar la importancia de la educación superior que es vanguardia en la fortaleza de la capacidad cognitiva y emocional de los profesionales en formación y consolidación de ellos a través de los programas de posgrado de cada una de nuestras instituciones
Participación del Foro,"Por otra parte, no se puede perder de vista las necesidades básicas de la población teniendo la emancipación como plataforma para evaluar y acreditar programas de calidad al ser discutidos y analizados con principios claros con sustento en la investigación educativa y de salud. ¿Y por qué digo de salud? Sobre todo porque al incidir en la salud mental nos lleva a deconstruir el entramado de nuestra meta con el compromiso y responsabilidad que caracteriza este grupo colegiado. Gracias y felicidades."
Participación del Foro Rectora de la Universidad Rosario Castellanos,"aún directora. Agradezco los buenos deseos y por supuesto que sí estamos pensando en esa posibilidad. Eh, dos temas nada más. El primero eh que tiene que ver con los datos eh presentados de manera tan objetiva y tan cruda por parte de Pepe Aguirre eh para determinar el el tamaño del desafío del desafío y sobre todo pensando en en estos nuevos indicadores como las brechas y es que hay un tema fundamental y es el de las becas."
Participación del Foro Rectora de la Universidad Rosario Castellanos,"O sea, yo sé que esta no es la mesa del presupuesto ni nada de eso, pero en realidad no podemos dejar de lado que hay una enorme cantidad de manifestaciones por parte de estudiantes de educación superior de todo el país eh demandando la posibilidad de tener apoyos que les permitan concluir eh sus estudios porque si no hacemos el análisis desde una perspectiva sistémica, a veces parece que lo que pasa es que después de la pandemia las y los jóvenes tomaron la decisión de no estudiar o que es un problema de salud mental, etcétera, pero hay un problema real que es un problema de apoyo financiero que pueda impulsar de una manera mucho más asertiva, digamos, la posibilidad de la sinergia la capacidad instalada de nuestras instituciones de tal forma que hay componentes eh de todos los planes de estudio que son componentes teóricos que pueden ser apropiados en de una manera muy importante en actividades en línea para que las eh instalaciones puedan ser ocupadas por actividades que requieren necesariamente de la presencialidad, como es el caso de los laboratorios que o los talleres que sí implican toda esta posibilidad eh y ahí eh creo que sí podemos tomar el aprendizaje de los desarrollos que se hicieron en todas las instituciones de educación superior para innovar los modelos pedagógicos y tecnológicos que eh efectivamente estimulan más la la participación, la autogestión del conocimiento, la este autogestión de la motivación y que pueden propiciar también el desarrollo de otros hábitos de pensamiento que este que se sintetizan a todo lo que uno aprende de manera presencial y desde esa perspectiva quizá este en esta lógica de las buenas prácticas pudiéramos avanzar compartiendo todo lo que son las plataformas, este los programas, los recursos digitales que son este infinitos me parece ya en todo el país y que puedan estar en el marco de la de la del ECOES al servicio de todas las instituciones educativas y de todos los las y los estudiantes de todo el país. Muchas gracias."
Norma Liliana Galván Meza,"yo creo que eh nosotros que que estamos trabajando en eh la dirección de las instituciones educativas eh la información es clave, ¿no? y es poder y tener información oportuna, eh información institucional, oficial, bueno, lo es aún más y eso se agradece mucho eh por parte de de estas instancias que hoy nos presentan la información."
Norma Liliana Galván Meza,"En ese sentido, yo creo que el esfuerzo que se está haciendo desde COEPES y bueno, particularmente eh desde CONACES eh va a ser fundamental para cada una de nuestras entidades porque eh por ejemplo, eh como referente en mi estado eh me ha tocado participar por diversos años eh como integrante de COEPES y veo particularmente en estos últimos meses eh en este último en estos últimos años eh una inercia muy interesante de movernos como instituciones educativas y como autoridades estatales eh relacionadas con la educación, de movernos hacia un mismo sentido. Creo que por años habíamos estado eh insisto, hablo particularmente del caso de de mi estado, habíamos estado trabajando sí, muy enfocados en nuestros propósitos como instituciones de educación superior, pero no de manera tan articulada como ahora es la intención y como ahora se ve que que es bastante propicio este escenario que se está eh que se está creando con eh pues nuestra participación también a partir de CONACES, nada menos el día de ayer."
Norma Liliana Galván Meza,"acaba de haber una sesión de COEPES en donde la universidad incluso fue eh sede eh llevamos el calendario de una manera muy puntual. Ayer aprobamos hacer ya los talleres de SEAES que estaba viendo que que son pocas las entidades del ocho de junio ya nos vemos maestra. Entonces eh creo creo que esto es bastante interesante, bastante propicio en este momento a pedir apoyo, a pedir consejo, a pedir ayuda, a pedir auxilio. Todas y todos han estado en toda en en esa gran disposición de acercar sus recursos, de compartir sus experiencias y creo que esa debe ser la clave para todas y todos."
Norma Liliana Galván Meza,"Creo que en este momento no podemos hablar de competencia institucional. Sabemos que cada una y cada uno tenemos nichos muy particulares de o públicos muy particulares, pero la colaboración sin duda que que que nos llevará a enfrentar este gran reto que ya mencionaba el maestro Aguirre y bueno, pues eh no no es eh casualidad que eh pues en este momento y en estas sesiones estemos hablando de eh estos retos que nos representan las los números crudos efectivamente que tenemos en cada una de nuestras entidades y de manera conjunta y que también estemos hablando de temas como eh cómo ponernos de acuerdo para hacer la evaluación de la educación en su conjunto, ¿no? eh desde las instancias estatales hasta lo federal y viceversa, desde lo federal hacia las instancias estatales. Entonces, sin duda que esta información nos tiene que dar esos referentes para poder identificar qué es lo que tenemos que hacer, hacia dónde avanzar, qué sí es realmente pertinente para nosotros, ¿qué no? hacerlo insisto en conjunto y yo creo que eso al menos para mi estado está representando una enorme posibilidad. Entonces celebro esta esta información que nos dan, yo creo que es eh muy relevante el producto que se vaya a generar y que sin duda bueno, a partir de ahí pues podemos también hacer una dinámica interesante en la que todas y todos nos podamos sumar. Muchas gracias"
 Ofelía Angulo,"Sí, muchas gracias y no puedo eh coincidir más con la rectora Norma eh Galván y con la próxima rectora de la Universidad Rosario Castellanos eh en y por supuesto también con José Aguirre en la propuesta de este indicador de brechas es eh muy interesante la forma en que se analiza la cobertura y cómo se va avanzando en en el tiempo. Eh también eh me parece a mí eh y ya también lo lo he eh conversado en algún momento con el doctor Concheiro que en este análisis de revisar la tasa de ingreso del bachillerato en relación con la cobertura del educación superior, hacer ese ese comparativo eh pienso que en ese contexto la tasa de cobertura que debiéramos estar poniendo sobre la mesa es la neta y no la bruta, ¿no? Eso sería más consistente. Entonces la tasa neta de de cobertura de educación superior pues nos acerca a una realidad más real más sincera y eh yo siempre he tenido la preocupación y el interés en que nos enfrentemos también a la tasa de egreso, o sea la cober la cobertura medida desde el egreso de la educación superior. O sea, la tasa neta de cobertura que se mide con el ingreso, pero también la realidad que tenemos con el egreso."
 Ofelía Angulo,"Ahí son datos muy contrastantes y vale la pena ser osados y ser valientes en decir los datos como son, ¿no? Esta es esta es nuestra realidad y mientras no asumamos esa responsabilidad de decir, esto es realmente lo que pasa en nuestro país, no no estaremos tomando esas decisiones también osadas de decir, la pandemia nos dejó una gran enseñanza de que la educación a distancia llegó para quedarse y tenemos que aprovecharla. En el contexto de la red ECOES, se agradezco mucho que lo hayas mencionado porque ese fue el tema de nuestra última conversación. Eh tenemos un grupo de innovación educativa. Ese grupo lo coordina Alma Herrera y ahí hay dos proyectos muy interesantes, uno que tiene que ver con este tema de la colaboración, de la importancia de compartir buenas prácticas, de poner sobre la mesa todos los recursos educativos que tenemos todas las instituciones de educación superior y todos ponen, todos ganan y el beneficiado final son los estudiantes."
 Ofelía Angulo,"Entonces ese es un esquema de colaboración, esa plataforma estará a disposición de todas y todas y todos en muy próximamente y el otro es qué tan realmente preparadas están las instituciones para adoptar un modelo de educación híbrida que nos permita ampliar la cobertura, ampliar las oportunidades de acceso a los estudiantes y bueno, pues quería nada más compartir eso. Muchas gracias."
Rodrigo López Zavala,"Sí, este saludos a todos colegas, compañeros. En primer lugar eh decir que con los datos y con la información que se nos ha presentado confirma nuestra nuestra preocupación y nuestra decisión de incluir el en la agenda de la reunión tanto de CEPEM que tendremos en junio como en el mismo mes de junio, el mes que entra la de COEPES. este tema de la matrícula y de la definición de acciones para la ampliación de la matrícula y sobre todo para la retención."
Rodrigo López Zavala,"Nuestro problema es que Sinaloa está haciendo fundamentalmente esfuerzos de retención. El tema del abandono es un tema que no hemos podido resolver, por supuesto no tiene que ver solo con las voluntades de las instituciones para abrir sus puertas para la matrícula, sino que tiene que ver con las dificultades y, por cierto, los números que acabamos de ver también, tienen que ver mucho con la situación de las familias."
Rodrigo López Zavala,"Pues no obstante, en Sinaloa hay una cosa que debe llamarnos mucho la atención y estoy muy de acuerdo en que cada entidad tiene sus particularidades. Nos debe llamar la atención que mientras la cobertura es cobertura en educación superior. lo que nos llama la atención es que la tasa de abandono en la educación superior está por encima de la media nacional."
Rodrigo López Zavala,"es decir, no hemos podido resolver el problema de la retención estudiantil; es un tema que tenemos que resolver e imaginar acciones para abordarlo. En el caso de la educación media superior, igualmente tenemos una cobertura muy amplia. Alrededor del 85% de los jóvenes están inscritos en instituciones de educación media superior. Por supuesto, políticas como las de la Universidad Autónoma de Sinaloa son muy acertadas y han permitido tal cosa. En la Universidad Autónoma de Sinaloa, el 100% de los solicitantes tiene un espacio asegurado en la universidad; en el bachillerato universitario no hay rechazos"
Rodrigo López Zavala,"Y en el nivel superior, la matrícula es universal, excepto en las carreras del área de la salud; ahí sí hay un proceso de selección. proceso de selección por razones que no tienen que ver solo con la universidad, entiendo, y todo el mundo lo entiende; con los campos clínicos son factores que están contando para el caso."
